Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Count,Protocols
192.168.18.114,15.197.196.10,TCP,52546,443,10,['TCP']
142.93.112.61,192.168.18.114,TLS,443,52534,10,['TLS']
103.67.201.72,192.168.18.114,TLS,443,52543,4,['TLS']
192.168.18.114,54.88.142.103,TCP,52547,443,6,['TCP']
54.88.142.103,192.168.18.114,TCP,443,52536,5,['TCP']
192.168.18.114,52.33.229.213,TCP,52548,443,7,['TCP']
192.168.18.114,162.19.138.120,TCP,52549,443,6,['TCP']
192.168.18.114,54.88.142.103,TLS,52536,443,4,['TLS']
192.168.18.114,142.250.199.194,TCP,52550,443,9,['TCP']
52.33.229.213,192.168.18.114,TCP,443,52540,10,['TCP']
192.168.18.114,52.33.229.213,TLS,52540,443,6,['TLS']
15.197.196.10,192.168.18.114,TCP,443,52546,18,['TCP']
192.168.18.114,15.197.196.10,TLS,52546,443,23,['TLS']
142.250.199.194,192.168.18.114,TCP,443,52550,15,['TCP']
192.168.18.114,142.250.199.194,TLS,52550,443,11,['TLS']
15.197.196.10,192.168.18.114,TLS,443,52546,9,['TLS']
162.19.138.120,192.168.18.114,TCP,443,52541,6,['TCP']
192.168.18.114,162.19.138.120,TLS,52541,443,7,['TLS']
192.168.18.114,142.250.71.225,TCP,52551,443,6,['TCP']
192.168.18.114,155.204.117.11,TCP,52552,443,7,['TCP']
142.250.199.194,192.168.18.114,TLS,443,52550,14,['TLS']
142.93.112.61,192.168.18.114,TLS,443,52535,6,['TLS']
142.250.71.225,192.168.18.114,TCP,443,52551,11,['TCP']
192.168.18.114,100.127.1.12,DNS,63267,53,1,['DNS']
192.168.18.114,100.127.1.12,DNS,65196,53,1,['DNS']
192.168.18.114,142.250.71.225,TLS,52551,443,7,['TLS']
100.127.1.12,192.168.18.114,DNS,53,63267,1,['DNS']
100.127.1.12,192.168.18.114,DNS,53,65196,1,['DNS']
192.168.18.114,96.16.100.69,TCP,52553,443,11,['TCP']
52.33.229.213,192.168.18.114,TCP,443,52548,8,['TCP']
192.168.18.114,52.33.229.213,TLS,52548,443,3,['TLS']
96.16.100.69,192.168.18.114,TCP,443,52553,13,['TCP']
192.168.18.114,96.16.100.69,TLS,52553,443,7,['TLS']
96.16.100.69,192.168.18.114,TLS,443,52553,6,['TLS']
52.33.229.213,192.168.18.114,TLS,443,52540,7,['TLS']
192.168.18.114,142.250.199.66,TCP,52554,443,8,['TCP']
142.250.71.225,192.168.18.114,TLS,443,52551,6,['TLS']
54.88.142.103,192.168.18.114,TCP,443,52547,5,['TCP']
192.168.18.114,54.88.142.103,TLS,52547,443,3,['TLS']
54.88.142.103,192.168.18.114,TLS,443,52536,6,['TLS']
142.250.199.66,192.168.18.114,TCP,443,52554,15,['TCP']
192.168.18.114,142.250.199.66,TLS,52554,443,10,['TLS']
162.19.138.120,192.168.18.114,TCP,443,52549,5,['TCP']
192.168.18.114,162.19.138.120,TLS,52549,443,3,['TLS']
192.168.18.114,18.140.96.83,TCP,52555,443,5,['TCP']
192.168.18.114,155.204.117.11,TCP,52556,443,6,['TCP']
192.168.18.114,44.229.70.138,TCP,52557,443,7,['TCP']
142.250.199.66,192.168.18.114,TLS,443,52554,12,['TLS']
18.140.96.83,192.168.18.114,TCP,443,52555,7,['TCP']
192.168.18.114,18.140.96.83,TLS,52555,443,6,['TLS']
162.19.138.120,192.168.18.114,TLS,443,52541,11,['TLS']
155.204.117.11,192.168.18.114,TCP,443,52552,7,['TCP']
192.168.18.114,155.204.117.11,TLS,52552,443,6,['TLS']
52.33.229.213,192.168.18.114,TLS,443,52548,6,['TLS']
18.140.96.83,192.168.18.114,TLS,443,52555,5,['TLS']
192.168.18.114,44.229.70.138,TCP,52558,443,7,['TCP']
54.88.142.103,192.168.18.114,TLS,443,52547,5,['TLS']
192.168.18.114,18.136.230.251,TCP,52559,443,6,['TCP']
44.229.70.138,192.168.18.114,TCP,443,52557,9,['TCP']
192.168.18.114,44.229.70.138,TLS,52557,443,6,['TLS']
18.136.230.251,192.168.18.114,TCP,443,52559,7,['TCP']
192.168.18.114,18.136.230.251,TLS,52559,443,6,['TLS']
192.168.18.114,100.127.1.12,DNS,57899,53,1,['DNS']
192.168.18.114,3.213.29.127,TCP,52560,443,7,['TCP']
192.168.18.114,3.162.58.118,TCP,52561,443,6,['TCP']
155.204.117.11,192.168.18.114,TCP,443,52556,4,['TCP']
